source_key,jurisdiction,agency_coverage,portal,source_name,official_url,data_type,access_method,auth_required,when_public,historical_depth,update_cadence,stable_identifiers,automation_feasibility,terms_access_constraints,sample_records_collected,known_gaps,verified_on
data_ca_gov_purchase_orders,California (state),111 departments,data.ca.gov (CKAN Datastore),Purchase Order Data (DGS) - historical inference corpus,https://data.ca.gov/dataset/purchase-order-data,awards/purchase orders,download (CKAN resource CSV; NOT the datastore API),no,published extract,FY2012-13 to FY2014-15 (~11 years stale),static,resource id bb82edc5-9c78-44e2-8947-68ece26197c5; Supplier Code; Purchase Order Number,"high - flat CSV download, subject to a 10s crawl delay","robots.txt disallows /api/ and /datastore/*, so the datastore_search_sql route stays off. /dataset/*/resource/*/download/* is not disallowed and is the route to use. Crawl-delay: 10 applies and is well above our 1.5s default","prior recon: 99.7% UNSPSC coverage (343,487/344,504), 24,728 suppliers, working UNSPSC+agency inference query","~11 years stale - inference corpus only, never a current-incumbent source; age must enter confidence. Total Price is text with $ and padding so sums need cleaning",2026-09-10
dgs_historical_contracts,California (state),statewide,DGS,SCPRS/CSCR historical contracts data,https://www.dgs.ca.gov/en/PD/Resources/Page-Content/Procurement-Division-Resources-List-Folder/SCPRS-CSCR-Historical-Contracts-Data,contracts/awards,manual-only (email request),no,n/a,pre-2015 on request,DISCONTINUED 2018-04-18 per the page,n/a,none - zero downloadable files (verified by link scan),robots.txt Allow: /,"1 page capture, 0 data files",README treats this as a bulk seed; it is not one any more. Use SCPRS live search + data.ca.gov corpus instead,2026-09-07
suppliers_fiscal_peoplesoft,California (state),statewide,FI$Cal supplier portal,PeopleSoft components on the backend host,https://suppliers.fiscal.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/ZZ_PO.ZZ_SCPRS1_CMP.GBL,contracts/payments,unreachable,unknown,unknown,unknown,unknown,unknown,unresolved - connection timed out at 20s and 30s,host did not respond from this network,0,"still unreachable on retest: connection times out to plain HTTP and to a full browser header set, so this is not user-agent shaped",2026-09-10
caleprocure_aspx_wrapper,California (state),n/a,Cal eProcure,Public .aspx search pages (InFlight/NLX wrapper),https://caleprocure.ca.gov/pages/public-search.aspx,"solicitations, suppliers",rendered page (SPA; plain HTTP returns a shell with no data),no,n/a,n/a,n/a,n/a,medium - needs a browser and a wait for an attached row node; wait_until alone races the XHR that fills the grid,WAF 403s bare non-browser UAs; /robots.txt 404 once UA clears the filter,"235 distinct events over 715 table rows, all status Posted (2026-09-10)","readable but adds nothing over the .GBL feed: fewer events (235 vs 375) and no closure signal, since every row on the first page reads Posted. Paginated, so more may sit behind paging",2026-09-10
caltrans_bid_results,California (state),Department of Transportation (business unit 2660),Caltrans DPAC,"Weekly bid results (all bidders, ranked)",https://dot.ca.gov/programs/procurement-and-contracts/bid-results,bidders,HTML (one static page per week),no,"within about 20 minutes of the public bid opening, held Tuesdays and Thursdays","rolling window; measured populated back to the week of 2025-12-14, empty at 2025-10-12",weekly,"contract number = Cal eProcure event_id under business_unit 2660; join is string equality, not inference","high - plain GET, no JS, no auth; slugs are the Sunday of each week and enumerable","public page, no robots restriction encountered; voluntary rate limit applied","13 weeks harvested: 76 solicitations, 211 bidder observations, 50 solicitations naming more than one bidder","Caltrans only, so no coverage of the other 278 events in the feed. Results are PRELIMINARY, pending SB/DVBE, licensing and bonding verification, so the low bidder is not necessarily the awardee. No supplier_id on the page, so identity resolution is a name match. Unpublished weeks answer HTTP 200 with an empty template rather than 404",2026-09-09
sfpublicworks_bid_tabulation,California (city and county of San Francisco),"SF Public Works, contracts going to the Public Works Commission",SF Public Works,Bid tabulations attached to commission award items,https://sfpublicworks.org/about/public-works-commission-calendar,bidders,document (PDF attachment discovered from commission pages),no,when the award item is posted; the tabulation starts the five-working-day protest period,as far back as commission pages are linked; 29 meeting folders referenced from the calendar,"per commission meeting, roughly fortnightly","SF sourcing id (e.g. 0000007165). NOT a Cal eProcure event: SF is a city and absent from the state portal, so there is no state join","medium - PDFs are plain GETs with a native text layer, but the meeting pages that carry the attachments are /node/<id> URLs the site does not index in one place",robots.txt is stock Drupal and does not disallow /sites/default/files/; voluntary rate limit applied,"3 pages, 99 commission PDFs linked, 15 opened, 4 tabulations, 21 bidder observations, all 4 naming more than one bidder","Discovery is the weak point: the calendar links mostly minutes and agendas, so a full backfill needs meeting-page URLs supplied. Bidders are listed in the order opened, NOT by price, so rank is derived from amount. A tabulation precedes responsibility review, so the low bidder is not yet the awardee. SF vendors carry no state supplier_id, so identity cannot resolve against SCPRS",2026-09-09
planetbids_agency_portal,California (local),"one portal per agency; hundreds of CA agencies, no public directory",PlanetBids,"Per-agency vendor portal (bid opportunities, results, planholders)",https://pbsystem.planetbids.com/portal/<companyId>/bo/bo-search,solicitations/bidders/awards,rendered page (SPA; plain HTTP returns 405),no for public stages; account for by-invite solicitations,at advertisement; results after bid opening,"unmeasured - stage filter exposes Closed/Awarded, depth not yet probed",continuous,"(companyId, bid id) - companyId is the agency, numeric","medium - needs a rendered page; verified readable on Anaheim (14424) from a hosted browser, 136KB and 62 rows","Terms READ 2026-09-10 at home.planetbids.com/terms-and-conditions (the /terms-of-use/ path 302s to a host returning 405; the real link is in the portal footer). NO anti-scraping, robots, crawler or automated-access clause exists - the method is not restricted. The constraint is on PURPOSE, s6 Copyright Protection: 'Users may print and download portions of the materials solely in connection with the use of the Services provided on this website... User shall not reproduce, duplicate, copy, sell, resell or exploit for any commercial purpose the Services, website content or PlanetBids Tools.' A commercial intelligence product plausibly falls inside that, so this is a business decision, not an engineering one. Named remedy in the terms: special-use request to customerservice@planetbids.com, granted at their discretion. Counterpoint for whoever decides: the underlying bid results are government public records held by the agencies, and are obtainable from them directly",1 portal read end to end (Anaheim); stage filter lists Planning/Bidding/Closed/Award Pending/Awarded/Canceled/Rejected,"decentralised, so the agency list is curated not discovered; vendors.planetbids.com and pbsystem.planetbids.com serve the same app. Read end to end on one portal; a wider sweep is gated on the commercial-purpose question above, not on any technical block",2026-09-10
caltrans_oe_planholders,California (state),Caltrans only,Caltrans Office of Engineering,"Planholder search, advertised projects and addenda",https://ppmoe2.dot.ca.gov/des/oe/planholders/,planholders/solicitations,unreachable (403),unknown,at advertisement,unknown,unknown,"Caltrans contract number, which is a Cal eProcure event id under BU 2660","none by any route tried: 403 to plain HTTP, to a full browser header set, to local Chrome, and to a hosted browser from a different address, so the block is not user-agent or IP shaped",not reached,0,"would be the highest-value state surface after the weekly bid results, since planholders name companies against a named contract. Compliant routes left: ask Caltrans OE, or a public records request",2026-09-10
cslb_license_master,California (state registry),every currently licensed CA contractor,CSLB Public Data Portal,Master list of California licensed contractors,https://www.cslb.ca.gov/onlineservices/dataportal/ContractorList,vendor identity,"download (ASP.NET WebForms postback, chunked CSV)",no,continuous,"current, plus expired-but-renewable within 5 years",continuous,LicenseNo - the one id that crosses the bidder sources,"CEILING, not flakiness. Twelve attempts plateau at 48,000-65,000 rows and roughly 20MB every time against a register of about 290,000, so the transfer is being cut server-side rather than failing at random. Retrying harder does not help and was measured: best of 4 was 64,767, best of 12 was 59,873. The by-classification route (78 values, up to ten per download) is the remaining option; its Download control is a type=button firing __doPostBack, and even posting __EVENTTARGET the server does not register the multi-select listbox and returns the pristine form","no charge, no login; email addresses withheld by statute","best partial 64,767 of ~290,000 rows, held as .PARTIAL and never promoted","cancelled and revoked licences are excluded, so absence means 'not currently licensed' rather than 'never existed'. The partial file is a front slice ordered by licence number, so it is biased to older licences, not a random sample",2026-09-10
csu_public_bid_portal,California (education),23 CSU campuses plus the Chancellor's Office,CSUBUY / Jaggaer,CSU public bid portal,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=CalState,solicitations,"HTML (plain GET, tab per lifecycle stage)",no to list; supplier login for event detail,at advertisement,since 2020-10-19 per the portal's own note,continuous,"solicitation number, e.g. SSU-IFB-00000823; campus is its prefix","high - plain HTTP, five lifecycle tabs, paged. Attribute quoting is mixed, so a single-quote-only pattern parses the live page to zero rows","public listing, no login required",20 awarded solicitations parsed live 2026-09-10,"SOLICITATIONS ONLY. The Award tab marks a row Awarded but never names the awardee, and the event detail behind each row redirects to a JAGGAER supplier login. Widens the education opportunity picture, adds nothing competitive",2026-09-10
lacounty_dpw_bid_results,California (county),LA County Public Works,Do Business With Public Works,LA County Public Works bid results and bid price history,https://dpw.lacounty.gov/contracts/Opportunities.aspx?phase=AWARDED,solicitations/bidders/pricing,"HTML listing, then a per-project PDF at BidResults.aspx?project_id=",no,after bid opening,145 awarded projects listed 2026-09-10,continuous,"project_id, e.g. BRC0000450","LOW YIELD, deferred. Chain is clean and needs no browser: Opportunities.aspx?phase=AWARDED lists 145 awarded projects, ProjectDetail.aspx exposes a View Bid Results link, and BidResults.aspx?project_id= returns the PDF directly. But only 1 of 12 sampled projects served one; the rest return a ~950-byte stub. The county has moved current work to Bid Express, so the self-hosted results are a shrinking tail","public, no login","3 results PDFs read. One parsed to a full field: NAME OF BIDDER, lump sum bid, alternates, LSBE/DVBE/SE preference, engineer's estimate and a Lowest Bidder marker","PDF layout is a wide landscape table and varies between projects, so a regex tuned to one returns zero bidders on another - table extraction needed. Bid Price History (dpw.lacounty.gov/general/bph/) is separate and richer per project: number of bids received, plus line-item engineer's estimate against low-bidder unit prices, via ProjectDetails.aspx?project_id=&bid_date=. Neither is built",2026-09-10
sacramento_bid_activities,California (city),City of Sacramento,ArcGIS Hub open data,City of Sacramento Bid Activities Report,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/BidActivitiesReport/FeatureServer/0,solicitations/competitive intensity,"ArcGIS FeatureServer query (typed JSON, no scraping, no browser)",no,published dataset,"395 solicitations, earliest posting 2012",as republished by the city,"Invitation_Num, e.g. P120100001","high - the only source in the corpus that arrives as clean typed JSON. Layer reports its own count, so a short harvest is detectable",published open data,395 of 395 collected 2026-09-10; 390 carry a bidder count,"COUNTS, NOT NAMES. Carries vendors notified, prospective bidders and how many were local, but never a vendor, so nothing here joins to an entity. Only 34 rows carry an award amount. The local share is the one measure in the corpus of how much of a field an agency draws from its own city, published rather than inferred from addresses",2026-09-10
uc_systemwide_procurement,California (education),"University of California, 10 campuses",none systemwide,University of California procurement,https://procurement.ucop.edu/suppliers/how-become-uc-supplier,none published,n/a - no public bid portal found,n/a,n/a,n/a,n/a,n/a,none at the system level. UCOP publishes supplier guidance only; there is no public solicitation listing equivalent to the CSU portal,n/a,0,"UC procures per campus, so coverage would mean one adapter per campus rather than one endpoint. Berkeley runs Jaggaer as BearBuy but it is an internal purchasing tool, not a public bid board, unlike CSU's Jaggaer portal which is public. Checked systemwide, Berkeley, UCLA 2026-09-10; UCSF and the UCOP supplier page refused the request",2026-09-10
sbcounty_res_bid_results,California (county),San Bernardino County Real Estate Services / Project & Facilities Mgmt,county-hosted,San Bernardino County bid results,https://res.sbcounty.gov/project-management/bid-results/,bidders (scanned tabulations),unreachable from this machine,unknown,"within 3 business days of opening, per the county",unknown,unknown,unknown,"untested. Both hosts refused the connection on every attempt (res.sbcounty.gov and pfm.sbcounty.gov), so this is unmeasured rather than unavailable - the earlier survey saw the same refusal from several county hosts",not reached,0,"reported to post full scanned bid tabulations listing every bid received, which would make it the highest-fidelity per-project bidder source found. Scanned PDFs would need the OCR path rather than native text extraction. Worth retrying from a different network before writing off",2026-09-11
